Sl.No.	English Word forms	Hindi Dictionary Translation	Definition/Facts/Descrption	Stong’s Number	References	Aligned Words
630	breath, breathe, breathes, breathed, breathing	श्वांस, श्वांस फूंकना, साँस लेता है, श्वांस फूँक दिया, सांस लेना	'In the Bible, the terms "breathe" and "breath" are often used figuratively to refer to giving life or having life.   * The Bible teaches that God "breathed into" Adam the breath of life. It was at that point that Adam became a living soul. * When Jesus breathed on the disciples and told them to "receive the Spirit," he was probably literally breathing out air onto them to symbolize the Holy Spirit coming to them. * Sometimes the terms "breathing" and "breathing out" are used to refer to speaking. * The figurative expression "breath of God" or "breath of Yahweh" often refers to God''s wrath being poured out on rebellious or godless nations. It communicates his power.'	G1709,G1720,G4157	66011011 ,66013015	
631	bribe, bribes, bribed, bribery, payoffs	घूस, घूस, घूस दिया, घूस लेते हैं	'To "bribe" means to give someone something of value, such as money, to influence that person to do something dishonest.  * The soldiers who guarded Jesus'' empty tomb were bribed with money to lie about what happened. * Sometimes a government official will be bribed to overlook a crime or to vote a certain way. * The Bible forbids giving or taking bribes. * The term, "bribe" could be translated as, "dishonest payment" or "payment for lying" or "price for breaking the rules." * To "bribe" could be translated with a word or phrase that means, to "pay to influence (someone)" or to "pay to have a dishonest favor done" or to "pay for a favor."'	G5260		
632	bride, brides, bridal	दुल्हन, वधू, विवाह	A bride is the woman in a wedding ceremony who is getting married to her husband, the bridegroom.  * The term "bride" is used as a metaphor for believers in Jesus, the Church. * Jesus is metaphorically called the "bridegroom" for the Church. (See: [Metaphor](rc://en/ta/man/translate/figs-metaphor))   )	G3565		
633	bridegroom, bridegrooms	दुल्हा, दुल्हे	In a marriage ceremony, the bridegroom is the man who will marry the bride.  * In the Jewish culture during Bible times, the ceremony was centered around the bridegroom coming to get his bride. * In the Bible, Jesus is figuratively called the "Bridegroom" who will someday come for his "Bride," the Church. * Jesus compared his disciples to the friends of the bridegroom who celebrate while the bridegroom is with them, but who will be sad when he is gone.   	G3566	43003030 ,42005035 ,41002019 ,41002020 ,40009015	
634	bronze	पीतल	'The term "bronze" refers to a kind of metal that is made from melting together the metals, copper and tin. It has a dark brown color, slightly red.  * Bronze resists water corrosion and is a good conductor of heat. * In ancient times, bronze was used for making tools, weapons, artwork, altars, cooking pots, and soldiers'' armor, among other things. * Many building materials for the tabernacle and temple were made of bronze. * Idols of false gods were also often made of bronze metal. * Bronze objects were made by first melting the bronze metal into a liquid and then pouring it into molds. This process was called "casting."   )'	G5470,G5474,G5475	66001015	
635	burden, burdens, burdened, burdensome, heavy, utterances	बोझ, बोझ, बोझ से दबे, भारी	'A burden is a heavy load. It literally refers to a physical load such as a work animal would carry. The term "burden" also has several figurative meanings:  * A burden can refer to a difficult duty or important responsibility that a person has to do. He is said to be "bearing" or "carrying" a "heavy burden." * A cruel leader may put difficult burdens on the people he is ruling, for example by forcing them to pay large amounts of taxes. * A person who does not want to be a burden to someone does not want to cause that other person any trouble. * The guilt of a person''s sin is a burden to him. * The "burden of the Lord" is a figurative way of referring to a "message from God" that a prophet must deliver to God''s people. * The term "burden" can be translated by "responsibility" or "duty" or "heavy load" or "message," depending on the context.'	G4,G916,G922,G1117,G2347,G2599,G2655,G5413	53003006 ,53003007 ,53003008 ,53003009 ,48006001 ,48006002 ,48006003 ,40011030 ,40023004	
636	burnt offering, burnt offerings, offering by fire	होमबलि, हवन, अग्निदान	A "burnt offering" was a type of sacrifice to God that was burnt up by fire on an altar. It was offered to make atonement for the sins of the people. This was also called an "offering by fire."  * Animals used for this offering were usually sheep or goats, but oxen and birds were also used. * Except for the skin, the entire animal was burned up in this offering. The skin or hide was given to the priest. * God commanded the Jewish people to offer burnt offerings two times every day.   	G3646	41012033	
637	bury, buries, buried, burying, burial	मिट्टी देना, दबा देता है, गाड़े गए, मिट्टी दे, मिट्टी देने	The term "bury" usually refers to putting a dead body into a hole or other burial place. The term "burial" is the act of burying something or can be used to describe a place used to bury something.  * Often people bury a dead body by placing it into a deep hole in the ground and then covering it with dirt. * Sometimes the dead body is placed in a box-like structure, such as a coffin, before burying it. * In Bible times, dead people were often buried in a cave or similar place. After Jesus died, his body was wrapped in cloths and placed in a stone tomb that was sealed with a large boulder. * The terms "burial place" or "burial room" or "burial chamber" or "burial cave" are all ways to refer to a place where a dead body is buried. * Other things can also be buried, such as when Achan buried silver and other things that he had stolen from Jericho. * The phrase "buried his face" usually means "covered his face with his hands." * Sometimes the word "hide" can mean "bury" as when Achan hid things in the ground that he had stolen from Jericho. This meant he buried them in the ground.  (See also:[Jericho](../names/jericho.md), [tomb](../other/tomb.md))	G1779,G1780,G2290,G4916,G5027	42016022 ,40027007	
638	camel, camels	ऊँट, ऊँटों	A camel is a large, four legged animal with one or two humps on its back.  	G2574	41010025 ,40003004 ,40019023 ,40019024	
639	captive, captives, captivate, captivated, captivity, catch, captured	बन्दी बनाना, बन्दी, वश में करना, मोहित, बँधुआई	The terms "captive" and "captivity" refer to capturing people and forcing them to live somewhere they do not want to live, such as in a foreign country.  * The Israelites from the kingdom of Judah were held captive in the kingdom of Babylonia for 70 years. * Captives are often required to work for the people or nation that captured them. * Daniel and Nehemiah were Israelite captives who worked for the Babylonian king. * The expression to "take captive" is another way of talking about capturing someone. * The expression, "carry you away captive" could also be translated as, "force you to live as captives" or "take you away to another country as prisoners."  * In a figurative sense, the apostle Paul tells Christians to "take captive" every thought and make it obedient to Christ. * He also talks about how a person can be "taken captive" by sin, which means he is "controlled by" sin.	G161,G162,G163,G164,G2221	47010005 ,42004018	
640	cast out, casting out, driving out, throw out, throwing out	निकालना, निकाल दिया, बाहर निकालने, फेंक देना, फेंककर	To "cast out" or "drive out" someone or something means to force that person or thing to go away.  * The term "cast" means the same thing as "throw." To cast a net means to throw the net into the water. * In a figurative sense, "cast out" or "cast away" someone can mean to reject that person and send him away.	G1544	44007017 ,44007018 ,44007019 ,41003013 ,41003014 ,41003015 ,41003016 ,41009029 ,40007021 ,40007022 ,40007023 ,40009032 ,40009033 ,40009034 ,40012024 ,40017019 ,40017020 ,40017021	
641	caught up, caught up with, catch up with	उठा लिया, जा लिया, दौड़ गया	The term "caught up" often refers to God taking a person up to heaven in a sudden, miraculous way.  * The phrase "caught up with" refers to coming up to someone after hurrying to reach him. A term with a similar meaning is "overtake." * The apostle Paul talked about being "caught up" to the third heaven. This could also be translated as "taken up." * Paul said that when Christ comes back, Christians will be "caught up" together to meet him in the air. * The figurative expression, "my sins have caught up with me" could be translated as, "I am receiving the consequences of my sin" or "because of my sin I am suffering" or "my sin is causing me trouble."  (see: [miracle](../kt/miracle.md), [overtake](../other/overtake.md), [suffer](../other/suffer.md), [trouble](../other/trouble.md))	G726	47012001 ,47012002 ,44008039 ,44008040	
642	cedar, cedars, cedarwood	देवदारू, देवदारों, देवदारू की लकड़ी	The term "cedar" refers to a large fir tree which normally has reddish-brown wood. Like other firs, it has cones and needle-like leaves.  * The Old Testament often mentions cedar trees in connection with Lebanon, where they grew plentifully. * Cedar wood was used in the construction of the Jerusalem temple. * It was also used for sacrifices and purification offerings.   			
643	census	नाम लिखाई	The term "census" refers to a formal counting of the number of people in a nation or empire.  * The Old Testament records different times when God ordered that the men of Israel be counted, such as when the Israelites first left Egypt and then again just before they entered Canaan. * Often the purpose of a census was in order to know how many people should be paying taxes. * For example, one time in Exodus the Israelite men were counted so that each one would pay a half shekel for taking care of the temple. * When Jesus was a baby, the Roman government did a census to count all the people who lived throughout their empire, to require them to pay taxes.	G582,G583	44005037 ,42002003	
644	chaff	भूसी	Chaff is a dry protective covering of a grain seed. The chaff is not good for food so people separate it from the seed and throw it away.  * Often, the chaff is separated from the seed by throwing the heads of grain up into the air. The wind blows the chaff away and the seed falls on the ground. This process is called "winnowing." * In the Bible, this term is also used figuratively to refer to evil people and evil, worthless things.   	G892	42003017 ,40003012	
645	chariot, chariots, charioteers	रथ, रथों, रथियों	In ancient times, chariots were lightweight, two-wheeled carts that were pulled by horses.  * People would sit or stand in chariots, using them for war or travel. * In war, an army that had chariots had a great advantage of speed and mobility over an army that did not have chariots. * The ancient Egyptians and Romans were well-known for their use of horses and chariots.  (See also: [How to Translate Unknowns](rc://en/ta/man/translate/translate-unknown))   	G716,G4480	44008029 ,44008038	
646	cherub, cherubim, cherubs	करूब, करूबों, करूबों	The term "cherub," and its plural form "cherubim," refer to a special type of heavenly being that God created. The Bible describes cherubim as having wings and flames.   * The cherubim display the glory and power of God and seem to be guardians of sacred things. * After Adam and Eve sinned, God placed cherubim with flaming swords at the east side of the Garden of Eden so that people could no longer get to the tree of life. * God commanded the Israelites to carve two cherubim facing each other, with their wings touching, over the atonement lid of the ark of the covenant. * He also told them to weave pictures of the cherubim into the curtains of the tabernacle. * In some passages, these creatures are also described as having four faces: of a man, a lion, an ox, and an eagle. * Cherubim are sometimes thought of as being angels, but the Bible does not clearly state that.	G5502		
647	chief, chiefs, officers	प्रधान, प्रधानों	The term "chief" refers to the most powerful or most important leader of a particular group.  * Examples of this include, "chief musician," "chief priest," and "chief tax collector." and "chief ruler." * It can also be used for the head of a specific family, as in Genesis 36 where certain men are named as "chiefs" of their family clans. In this context, the term "chief" could also be translated as "leader" or "head father." * When used to describe a noun, this term could be translated as "leading" or "ruling," as in "leading musician" or "ruling priest."   	G749,G750,G754,G4410,G4413,G5506	42019002	
648	chief priests	प्रधान याजकों	'The chief priests were important Jewish religious leaders during the time that Jesus lived on earth.  * The chief priests were responsible for everything needed for the worship services at the temple. They were also in charge of the money that was given to the temple. * They were higher in rank and power than the ordinary priests. Only the high priest had more authority. * The chief priests were some of Jesus'' main enemies and they strongly influenced the Roman leaders to arrest and kill him.'	G749	44009013 ,44009014 ,44009015 ,44009016 ,44022030 ,44026012 ,44026013 ,44026014 ,42020001 ,41008031 ,40016021 ,40026003 ,40026004 ,40026005 ,40026059 ,40027041 ,40027042	
649	chronicles	इतिहास	'The term "chronicle" refers to a written record of events over a period of time.  * Two Old Testament books are called "First Book of the Chronicles" and "Second Book of the Chronicles." * The books called "Chronicles" record part of the history of the Israelite people, beginning with a list of people in every generation since Adam. * The "First Book of the Chronicles" records the end of King Saul''s life and the events of King David''s reign. * The "Second Book of the Chronicles" records the reigns of King Solomon and several other kings, including the building of the temple and the separation of the northern kingdom of Israel from the southern kingdom of Judah. * The end of 2 Chronicles describes the beginning of the Babylonian exile.   )'			
650	citizen, citizens, citizenship	निवासी, निवासियों, citizenship	'A citizen is someone who lives in a specific city, country, or kingdom. It especially refers to someone who is recognized officially as being a legal resident of that place.  * Depending on the context, this could also be translated as "inhabitant" or "official resident." * A citizen could live in a region that is part of a larger kingdom or empire that is governed by a king, emperor, or other ruler. For example, Paul was a citizen of the Roman Empire, which consisted of many different provinces; Paul lived in one of those provinces. * In a figurative sense, believers in Jesus are called "citizens" of heaven in the sense that they will live there someday. Like a citizen of a country, Christians belong to God''s kingdom.  ( See: [kingdom](../other/kingdom.md), [Paul](../names/paul.md), [province](../other/province.md), [Rome](../names/rome.md))'	G4175,G4177,G4847	44021039 ,44021040 ,42015015 ,42019014	
651	clan, clans	कुल, कुलों	'The term "clan" refers to a group of extended family members who come from a common ancestor.  * In the Old Testament, the Israelites were counted according to their clans, or family groups. * Clans were normally named after their most well-known ancestor. * Individual people were sometimes referred to by the name of their clan. An example of this is when Moses'' father-in-law Jethro is sometimes called by his clan name, Reuel. * Clan could be translated as "family group" or "extended family" or "relatives."   '			
652	clothe, clothed, clothes, clothing, unclothed, garments	पहनाना, पहनना, वस्त्र, अंगरखा, उतारना	When used figuratively in the Bible, "clothed with" means to be endowed or equipped with something. To "clothe" oneself with something means to seek to have a certain character quality.  * In the same way that clothing is external to your body and is visible to all, when you are "clothed" with a certain character quality, others can readily see it. To "clothe yourself with kindness" means to let your actions be so characterized by kindness that it is easily seen by everyone. * To be "clothed with power from on high" means to have power given to you. * This term is also used to express negative experiences, such as "clothed with shame" or "clothed with terror."	G294,G1463,G1562,G1737,G1742,G1746,G1902,G2066,G2439,G2440,G3608,G4016,G4470,G4616,G4683,G4749,G5509,G6005	42024049	
653	comfort, comforts, comforted, comforting, comforter, comforters, uncomforted	शान्ति, शान्ति, शान्ति दी, शान्तिदायक, शान्ति देनेवाला, शान्ति देनेवाले, शान्ति नहीं मिली	The terms "comfort" and "comforter" refer to helping someone who is suffering physical or emotional pain.  * A person who comforts someone is called a "comforter." * In the Old Testament, the term "comfort" is used to describe how God is kind and loving to his people and helps them when they are suffering. * In the New Testament, it says that God will comfort his people through the Holy Spirit. Those who receive the comfort are then enabled to give the same comfort to others who are suffering. * The expression "comforter of Israel" referred to the Messiah who would come to rescue his people. * Jesus referred to the Holy Spirit as the "Comforter" who helps believers in Jesus.	G302,G2174,G3870,G3874,G3875,G3888,G3890,G3931	52005008 ,52005009 ,52005010 ,52005011 ,47001004 ,44020011 ,44020012	
654	commander, commanders, leader, leaders	सेनापति, सरदारों	The term "commander" refers to a leader of an army who is responsible for leading and commanding a certain group of soldiers.  * A commander could be in charge of a small group of soldiers or a large group, such as a thousand men. * This term is also used to refer to Yahweh as the commander of angel armies. * Other ways to translate "commander" could include, "leader" or "captain" or "officer." * The term to "command" an army could be translated as to "lead" or to "be in charge of."   	G5506	41006021 ,41006022	
655	commit, commits, committed, committing, commitment	करना, करता है, किया है, करते, प्रतिज्ञा	The terms "commit" and "commitment" refers to making a decision or promising to do something.   * A person who promises to do something is also described as being "committed" to doing it. * To "commit" to someone a certain task means to assign that task to that person. For example, in 2 Corinthians Paul says that God has "committed" (or "given") to us the ministry of helping people be reconciled to God. * The terms "commit" and "committed" also often refer to doing a certain wrong action such as "commit a sin" or "commit adultery" or "commit murder." * The expression "committed to him the task" could also be translated as "gave him the task" or "entrusted to him the task" or "assigned the task to him." * The term "commitment" could be translated by, "task that was given" or "promise that was made."   	G264,G2038,G2716,G3429,G3431,G3860,G3872,G3908,G4102,G4160,G4203	60002021 ,60002022 ,60002023 ,40013041	
656	companion, companions, fellow worker, fellow workers, friend	साथी, संगी	The term "companion" refers to a person who goes with someone else or who is associated with someone else, such as in a friendship or marriage. The term "fellow worker" refers to someone who works with another person.   * Companions go through experiences together, share meals together, and support and encourage each other. * Depending on the context, this term could also be translated with a word or phrase that means,  "friend" or "fellow traveler" or "supporting-person who goes with" or "person  who works with."	G2844,G3353,G4791,G4898,G4904	58001009	
657	conceive, conceives, conceived, conception	गर्भ धारण, गर्भवती, गर्भवती, गर्भवती होना	The terms "conceive" and "conception" usually refer to becoming pregnant with a child. It can also be used for animals that become pregnant.  * The phrase "conceive a child" could be translated as, "become pregnant" or some other term that is an acceptable way of referring to this. * The related term "conception" could be translated as, "beginning of a pregnancy" or "moment of becoming pregnant." * These terms can also refer to creating something or thinking of something, such as an idea, a plan, or a task. Ways to translate this could include, "think of" or "plan" or "create," depending on the context. * Sometimes this term can be used figuratively as in, "when sin is conceived" which means "when sin is first thought of" or "at the very start of a sin" or "when a sin first begins."   	G1080,G1722,G2602,G2845,G4815	42001024 ,42001025 ,42002021	
658	concubine, concubines	रखैल, रखैलियों	'A concubine is a woman who is a secondary wife for a man who already has a wife. Usually a concubine is not legally married to the man.  * In the Old Testament, concubines were often female slaves. * A concubine could be acquired by purchase, through military conquest, or in payment of a debt. * For a king, having many concubines was a sign of power.  * The New Testament teaches that the practice of having a concubine is against God''s will.'			
659	confidence, confident, confidently	भरोसा, भरोसा करना, आत्मविश्वास से	'The term "confidence" refers to being sure that something is true or certain to happen.  * In the Bible, the term "hope" often means to wait expectantly for something that is sure to happen. The ULB often translates this as "confidence" or "confidence for the future" or "future confidence" especially when it means to be assured of receiving what God has promised to believers in Jesus. * Often the term "confidence" refers especially to the certainty that believers in Jesus have that they will someday be with God forever in heaven. * The phrase, "have confidence in God" means to fully expect to receive and experience what God has promised. * Being "confident" means believing in God''s promises and acting with the assurance that God will do what he has said. This term can also have the meaning of acting boldly and courageously.'	G1340,G2292,G3954,G3982,G4006,G5287		
660	confirm, confirms, confirmed, confirmation, guaranteed	दृढ़ करने, दृढ़ करता, पक्की की, प्रमाण देने	The terms "confirm" and "confirmation" refer to stating or assuring that something is true or sure or trustworthy.  * In the Old Testament, God tells his people that he will "confirm" his covenant with them. This means he is stating that he will keep the promises he made in that covenant. * When a king is "confirmed" it means that the decision to make him king has been agreed upon and supported by the people. * To confirm what someone wrote means to say that what was written is true. * The "confirmation" of the gospel means teaching people about the good news of Jesus in such a way that it shows that it is true. * To give an oath "as confirmation" means to solemnly state or swear that something is true or trustworthy. * Ways to translate "confirm" could include, "state as true" or "prove to be trustworthy" or "agree with" or "assure" or "promise," depending on the context.   	G950,G951,G1991,G2964,G3315,G4300,G4972	47001021 ,58006016 ,58006017 ,58006018	
661	consume, consumes, consumed, consuming	भस्म कर देगा, खाए, भस्म किया, भस्म करती जाएगी	The term "consume" literally means to use up something. It has several figurative meanings.  * In the Bible, the word "consume" often refers to destroying things or people. * A fire is said to consume things, which means it destroys them by burning them up. * God is described as a "consuming fire," which is a description of his anger against sin. His anger results in terrible punishment for sinners who do not repent. * To consume food means to eat or drink something. * The phrase, "consume the land" could be translated as "destroy the land."	G355,G1159,G2618,G2654,G2719,G5315,G5723		
662	contempt, contemptible, not worth listening to	तुच्छ जाने, तुच्छ	The term "contempt" refers to a deep disrespect and dishonor that is shown toward something or someone. Something that is greatly dishonorable is called "contemptible."  * A person or behavior that shows open disrespect for God is also called "contemptible" and could be translated as "greatly disrespectful" or "completely dishonorable" or "deserving scorn." * To "hold in contempt" means to regard someone as having less value or to judge someone as less worthy than oneself. * The following expressions have a similar meaning:  "have contempt for"  or "show contempt for" or "be in contempt of" or "treat with contempt." These all mean to "strongly disrespect" or "strongly dishonor" something or someone by what is said and done. * When King David sinned by committing adultery and murder, God said that David had "shown contempt for" God. It means he had greatly disrespected and dishonored God by doing that.   	G1848		
663	corrupt, corrupts, corrupted, corrupting, corruption, corruptly, incorruptibility, depraved	बिगड़कर, नाश होती है, बिगड़ गए, भ्रष्ट, सड़ाहट, बिगड़ गए	The terms "corrupt" and "corruption" refer to a state of affairs in which people have become ruined, immoral, or dishonest.  * The term "corrupt" literally means to be "bent" or "broken" morally. * A person who is corrupt has turned away from truth and is doing things that are dishonest or immoral. * To corrupt someone means to influence that person to do dishonest and immoral things.	G853,G862,G1311,G1312,G2585,G2704,G4550,G4595,G5349,G5351,G5356	48006006 ,48006007 ,48006008 ,40012033 ,40012034 ,40012035	
664	council, councils	महासभा, सभाओं	A council is a group of people who meet to discuss, give advice, and make decisions about important matters.  * A council is usually organized in an official and somewhat permanent way for a specific purpose, such as making decisions about legal matters. * The "Jewish Council" in Jerusalem, also known as the "Sanhedrin," had 70 members, which included Jewish leaders such as chief priests, elders, scribes, Pharisees, and Sadducees who met regularly to decide matters of Jewish law. It was this council of religious leaders who put Jesus on trial and decided that he should be killed. * There were also smaller Jewish councils in other cities. * The apostle Paul was brought before a Roman council when he was arrested for teaching the gospel. * Depending on the context, the word "council" could also be translated as "legal assembly" or "political assembly." * To be "in council" means to be in a special meeting to decide something. * Note that this is a different word than "counsel," which means, "wise advice."   	G1010,G4824,G4892	44007057 ,44007058 ,44024020 ,43003002 ,42022068 ,41013009 ,40005022 ,40026059	
665	advice, advise, advised, advisor, advisors, counsel, counselor, counselors, counsels	सम्मति, सम्मति, सम्मति दी, मंत्री, सम्मति देनेवालों, युक्ति , युक्ति करनेवाला, मंत्रियों, सम्मति दी	The terms "counsel" and "advice" have the same meaning and refer to helping someone decide wisely about what to do in a certain situation. A wise "counselor" or "advisor" is someone who gives advice or counsel that will help a person make right choices.  * Kings often have official advisors or counselors to help them decide important matters that affect the people they are ruling. * Sometimes the advice or counsel that is given is not good. Evil advisors may urge a king to take action or make a decree that will harm him or his people. * Depending on the context, "advice" or "counsel"  could also be translated as "help in deciding" or "warnings" or "exhortations" or "guidance." * The action, to "counsel" could be translated as to "advise" or to "make suggestions" or to "exhort." * Note that "counsel" is a different word than "council," which refers to a group of people.   	G1010,G1011,G1012,G1106,G4823,G4824,G4825		
666	courage, courageous, encourage, encouraged, encouragement, take courage, discourage, discouraged, discouragement, discouraging, bravest	हियाव, हियाव बांधे, प्रोत्साहित, प्रोत्साहन, ढाढ़स बाँधो, उदास, निरुत्साहित, उदास करना, discouraging	'The term "courage" refers to boldly facing or doing something that is difficult, frightening, or dangerous.   * The term, "courageous" describes someone who shows courage, who does the right thing even when feeling afraid or pressured to give up. * A person shows courage when he faces emotional or physical pain with strength and perseverance. * The expression "take courage" means, "don''t be afraid" or "be assured that things will turn out well." * When Joshua was preparing to go into the dangerous land of Canaan, Moses exhorted him to be "strong and courageous."  * The term "courageous" could also be translated as "brave" or "unafraid" or "bold." * Depending on the context, to "have courage" could also be translated as, "be emotionally strong" or "be confident" or "stand firm." * To "speak with courage" could be translated as, "speak boldly" or "speak without being afraid" or "speak confidently."  The terms "encourage" and encouragement" refer to saying and doing things to cause someone to have comfort, hope, confidence, and courage.  * A similar term is "exhort," which means to urge someone to reject an activity that is wrong and to instead do things that are good and right. * The apostle Paul and other New Testament writers taught Christians to encourage one another to love and serve others.  The term "discourage" refers to saying and doing things that cause people to lose hope, confidence, and courage and so to have less desire to keep working hard to do what they know they should do.'	G2114,G2115,G2174,G2292,G2293,G2294,G3870,G3874,G3954,G4389,G4837,G5111	40009020 ,40009021 ,40009022 ,46014001 ,46014002 ,46014003 ,46014004 ,47007013 ,44005012 ,44005013 ,44016040 ,58003012 ,58003013 ,58013005 ,58013006	
667	court, courts, courtyard, courtyards	आँगन, आँगनों, आँगन, आँगनों	'The terms "courtyard" and "court" refer to an enclosed area that is open to the sky and surrounded by walls. The term "court" also refers to a place where judges decide legal and criminal matters.  * The tabernacle was surrounded by one courtyard which was enclosed by walls made of thick, cloth curtains.  * The temple complex had three inner courtyards: one for the priests, one for Jewish men, and one for Jewish women. * These inner courtyards were surrounded by a low stone wall that separated them from an outer courtyard where Gentiles were permitted to worship. * The courtyard of a house was an open area in the middle of the house. * The phrase "king''s court" can refer to his palace or to a place in his palace where he makes judgments. * The expression, "courts of Yahweh" is a figurative way of referring to Yahweh''s dwelling place or to the place where people go to worship Yahweh.'	G2681,G833,G933,G4259	42022055 ,40026069 ,40026070	
668	cow, cows, bull, bulls, calf, calves, cattle, heifer, ox, oxen	गाय, गायें, बैल, बैलों, बछड़ा, बछड़ों, पशुओं, बछिया, बैल, बैलों	The terms "cow," "bull," "heifer," "ox," and "cattle" all refer to a kind of large, four-legged bovine animal that eats grass.  * The female of this kind of animal is called a "cow," the male is a "bull," and their offspring is a "calf." * In the Bible, cattle were among the "clean" animals that the people could eat and use for sacrifice. They were primarily raised for their meat and milk.  A "heifer" is an adult female cow that has not yet given birth to a calf.  An "ox" is a type of cattle that is specifically trained to do agricultural work. The plural of this term is "oxen." Usually oxen are male and have been castrated.  * Throughout the Bible, oxen were depicted as animals tied together by a yoke to pull a cart or a plow. * Having oxen work together under a yoke was such a common occurrence in the Bible that the phrase to "be under a yoke" became a metaphor for hard work and labor. *  A bull is also a male type of cattle, but it has not been castrated and has not been trained as a work animal.  (See also: [How to Translate Unknowns](rc://en/ta/man/translate/translate-unknown))   	G1016,G1151,G2353,G2934,G3447,G3448,G4165,G5022,G5022	42013015 ,42014005 ,58009013	
669	create, creates, created, creation, creator	उत्‍पन्‍न, सर्जन करना, सृष्टि की, सृष्टि, सृजनहार	The term "create" means to make something or to cause something to be. Whatever is created is called a "creation." God is called the "Creator" because he caused everything in the entire universe to come into existence.  * When this term is used to refer to God creating the world, it means he made it out of nothing. * When human beings "create" something, it means they made it out of things that already existed. * Sometimes "create" is used in a figurative way to describe something abstract, such as creating peace, or creating a pure heart in someone. * The term "creation" can refer to the very beginning of the world when God first created everything. It can also be used to refer generally to everything that God created. Sometimes the word "creation" refers more specifically to just the people in the world.	G2041,G2602,G2675,G2936,G2937,G2939,G4160,G5480	46011009 ,46011010 ,60004017 ,60004018 ,60004019 ,51001015 ,48006015	
670	creature, creatures	प्राणी, प्राणियों	The term "creature" refers to all the living beings that God created, both humans and animals.  * The prophet Ezekiel described seeing "living creatures" in his vision of the glory of God. He did not know what they were, so he gave them this very general label. * Note that the term "creation" has a different meaning since it includes everything God created, both living and nonliving things (such as land, water, and stars). The term "creature" only includes living things.	G2226,G2937,G2938	66019004	
671	crime, crimes, criminal, criminals	दोष, अपराधों, कुकर्मी,  कुटिल जन	'The term  "crime" usually refers to a sin that involves breaking the law of a country or state. The term "criminal" refers to someone who has committed a crime.  * Types of crimes include such things as killing a person or stealing someone''s property. * A criminal is usually captured and kept in some form of captivity such as a prison. * In Bible times, some criminals became fugitives, wandering from place to place to escape people who wanted to harm them out of revenge for their crime.   '	G156,G1462,G2556,G2557,G4467	55002009 ,42023032 ,40027023 ,40027024	
672	crown, crowns, crowned	मुकुट, मुकुट, मुकुट पहनाना, मुकुट रखा	'A crown is a decorative, circular headpiece worn on the head of rulers such as kings and queens. The term to "crown" means to put a crown on someone''s head; figuratively it means, to "honor."  * Crowns are usually made of gold or silver, and are embedded with precious gems such as emeralds and rubies. * A crown was intended to be a symbol of a king''s power and wealth. * By contrast, the crown made of thorn branches that the Roman soldiers placed on Jesus'' head was meant to mock him and hurt him. * In ancient times, winners of athletic contests would be awarded a crown made out of olive branches. The apostle Paul mentions this crown in his second letter to Timothy. * Used figuratively, to "crown" means to honor someone. We honor God by obeying him and praising him to others. This is like putting a crown on him and acknowledging that he is King. * Pauls calls fellow believers his "joy and crown." In this expression, "crown" is used figuratively to mean that Paul has been greatly blessed and honored by how these believers have remained faithful in serving God. * When used figuratively, "crown" could be translated as "prize" or "honor" or "reward." * The figurative use of to "crown" could be translated as to "honor" or to "decorate." * If a person is "crowned" this could be translated as "a crown was put on his head." * The expression, "he was crowned with glory and honor" could be translated as, "glory and honor were bestowed on him" or "he was given glory and honor" or "he was endowed with glory and honor."  (See also: [glory](../kt/glory.md), [king](../other/king.md), [olive](../other/olive.md))'	G1238,G4735,G4737	43019003 ,40027029 ,50004001 ,66003011	
673	cry, cries, cried, crying, cry out, cries out, cried out, outcry, outcries, shouted, shouts	पुकार, चिल्लाहट, पुकारकर, रोना, दोहाई, दोहाई, पुकारकर, चिल्लाहट, जय-जयकार	The terms "cry" or "cry out" often mean to say something loudly and urgently. Someone can "cry out" in pain or in distress or in anger.  * The phrase "cry out" also means to shout or call out, often with the intent to ask for help. * This term could also be translated as "exclaim loudly" or "urgently ask for help," depending on the context. * An expression such as, "I cry out to you"  could be translated as, "I call to you for help" or "I urgently ask you for help."  (See also: [call](../kt/call.md), [plead](../other/plead.md))	G310,G349,G863,G994,G995,G1916,G2019,G2799,G2805,G2896,G2905,G2906,G2929,G4377,G5455	41005005 ,41005006 ,41006048 ,41006049 ,41006050	
674	cupbearer, cupbearers	पिलानेहारा, पिलानेवाले	'In Old Testament times, a "cupbearer" was a king''s servant who was given the task of bringing the king his cup of wine, usually tasting the wine first to make sure it had not been poisoned.  * The literal meaning of this term is "cup bringer" or "someone who brings the cup." * A cupbearer was known for being very trustworthy and loyal to his king. * Because of his trusted position, a cupbearer would often have influence in the decisions the ruler made. * Nehemiah was the cupbearer for King Artaxerxes of Persia during the time when some of the Israelites were in captivity in Babylon.   '			
675	curtain, curtains	परदा, परदे	In the Bible, the term "curtain" refers to a very thick, heavy piece of material used in the making of the tabernacle and the temple.  * The tabernacle was built using four layers of curtains for the top and sides. These curtain coverings were made of cloth or animal skins. * Cloth curtains were also used to form a wall surrounding the tabernacle courtyard. These curtains were made out of "linen" which was a kind of cloth made out of the flax plant. * In both the tabernacle and temple building, a thick cloth curtain hung between the holy place and the most holy place. It was this curtain that was miraculously torn into two parts when Jesus died.	G2665	58010020 ,42023045 ,40027051	
