Sl.No.	key_word_eng	key_word_hin	word_forms_en	word_forms_hi	strongs_en	strongs_hi	references_en	
593	ambassador	ambassador	ambassador, ambassadors, representative, representatives	दूत, दूतों, प्रतिनिधि, राजदूत	['H3887', 'H4136', 'H4397', 'H6735', 'G4243']	['H3887', 'H4135', 'H4136', 'H4397', 'H6735', 'H6737', 'G4243']	* [Ephesians 06:20](rc://en/tn/help/eph/06/20)* [Luke 14:31-33](rc://en/tn/help/luk/14/31)* [Luke 19:13-15](rc://en/tn/help/luk/19/13)	49006020. 42014031. 42014032. 42014033. 42019013. 42019014. 42019015. 
594	angry	angry	anger, angered, angry	क्रोध, क्रोधित हुआ, क्रोधित	['H599', 'H639', 'H1149', 'H1984', 'H2152', 'H2194', 'H2195', 'H2198', 'H2534', 'H2734', 'H2787', 'H3179', 'H3707', 'H3708', 'H3824', 'H4751', 'H4843', 'H5674', 'H5678', 'H6225', 'H7107', 'H7110', 'H7266', 'H7307', 'G23', 'G1758', 'G2371', 'G2372', 'G3164', 'G3709', 'G3710', 'G3711', 'G3947', 'G3949', 'G3950', 'G5520']	['H599', 'H639', 'H1149', 'H2152', 'H2194', 'H2195', 'H2198', 'H2534', 'H2734', 'H2787', 'H3179', 'H3707', 'H3708', 'H3824', 'H4751', 'H4843', 'H5674', 'H5678', 'H6225', 'H7107', 'H7110', 'H7266', 'H7307', 'G23', 'G1758', 'G2371', 'G2372', 'G3164', 'G3709', 'G3710', 'G3711', 'G3947', 'G3949', 'G5520']	* [Ephesians 04:26](rc://en/tn/help/eph/04/26)* [Exodus 32:11](rc://en/tn/help/exo/32/11)* [Isaiah 57:16-17](rc://en/tn/help/isa/57/16)* [John 06:52-53](rc://en/tn/help/jhn/06/52)* [Mark 10:14](rc://en/tn/help/mrk/10/14)* [Matthew 26:08](rc://en/tn/help/mat/26/08)* [Psalms 018:08](rc://en/tn/help/psa/018/08)	49004026. 02032011. 23057016. 23057017. 43006052. 43006053. 41010014. 40026008. 19018008. 
595	anguish	anguish	anguish	पीड़ा	['H2342', 'H2470', 'H2479', 'H3708', 'H4164', 'H4689', 'H4691', 'H5100', 'H6695', 'H6862', 'H6869', 'H7267', 'H7581', 'G928', 'G3600', 'G4928']	['H2342', 'H2479', 'H3708', 'H4164', 'H4689', 'H4691', 'H5100', 'H6695', 'H6862', 'H6869', 'H7267', 'H7581', 'G928', 'G3600', 'G4928']	* [Jeremiah 06:24](rc://en/tn/help/jer/06/24)* [Jeremiah 19:09](rc://en/tn/help/jer/19/09)* [Job 15:24](rc://en/tn/help/job/15/24)* [Luke 16:24](rc://en/tn/help/luk/16/24)* [Psalms 116:3-4](rc://en/tn/help/psa/116/003)	24006024. 24019009. 18015024. 42016024. 19116003. 19116004. 
596	archer	archer	archer, archers	धनुर्धारी, धनुर्धारियों	['H1167', 'H1869', 'H2671', 'H3384', 'H7199', 'H7228']	['H1167', 'H1869', 'H2671', 'H2686', 'H3384', 'H7198', 'H7199', 'H7228']	* [1 Samuel 31:1-3](rc://en/tn/help/1sa/31/01)* [2 Chronicles 35:23-24](rc://en/tn/help/2ch/35/23)* [Genesis 21:20](rc://en/tn/help/gen/21/20)* [Isaiah 21:16-17](rc://en/tn/help/isa/21/16)* [Job 16:13](rc://en/tn/help/job/16/13)* [Proverbs 26:9-10](rc://en/tn/help/pro/26/09)	09031001. 09031002. 09031003. 14035023. 14035024. 01021020. 23021016. 23021017. 18016013. 20026009. 20026010. 
597	armor	armor	armor, armory	हथियार, शस्त्रों का घर	['H2290', 'H2488', 'H3627', 'H4055', 'H5402', 'G3696', 'G3833']	['H2185', 'H2290', 'H2488', 'H3627', 'H4055', 'H5402', 'G3696', 'G3833']	* [1 Samuel 31:9-10](rc://en/tn/help/1sa/31/09)* [2 Samuel 20:8](rc://en/tn/help/2sa/20/08)* [Ephesians 06:11](rc://en/tn/help/eph/06/11)* [Jeremiah 51:3-4](rc://en/tn/help/jer/51/03)* [Luke 11:22](rc://en/tn/help/luk/11/22)* [Nehemiah 04:15-16](rc://en/tn/help/neh/04/15)	09031009. 09031010. 49006011. 24051003. 24051004. 42011022. 16004015. 16004016. 
598	arrogant	arrogant	arrogant, arrogantly, arrogance	अहंकारी, अभिमान करके, अहंकार	['H1346', 'H1347', 'H2102', 'H2103', 'H6277', 'G212', 'G5450']	['H1346', 'H1347', 'H6277']	* [1 Corinthians 04:18](rc://en/tn/help/1co/04/18)* [2 Peter 02:18](rc://en/tn/help/2pe/02/18)* [Ezekiel 16:49](rc://en/tn/help/ezk/16/49)* [Proverbs 16:05](rc://en/tn/help/pro/16/05)* [Psalm 056:1-2](rc://en/tn/help/psa/056/001)	46004018. 61002018. 26016049. 20016005. None056001. None056002. 
599	ash	ash	ash, ashes, dust	राख, राख, धूल	['H80', 'H665', 'H1854', 'H6083', 'H6368', 'H7834', 'G2868', 'G4700', 'G5077', 'G5522']	['H80', 'H665', 'H666', 'H766', 'H1854', 'H6083', 'H6368', 'H7834', 'G2868', 'G4700', 'G5077', 'G5522']	* [1 Kings 20:10](rc://en/tn/help/1ki/20/10)* [Jeremiah 06:26](rc://en/tn/help/jer/06/26)* [Psalms 102:09](rc://en/tn/help/psa/102/09)* [Psalms 113:07](rc://en/tn/help/psa/113/07)	11020010. 24006026. 19102009. 19113007. 
600	assembly	assembly	assembly, assemblies, assemble, assembled, congregation, meeting	मण्डली, सभाओं, इकट्ठा करना, इकट्ठा किया	['H622', 'H1481', 'H2199', 'H3259', 'H4150', 'H4186', 'H4744', 'H5475', 'H5712', 'H6116', 'H6908', 'H6950', 'H6951', 'H6952', 'G1577', 'G3831', 'G4863', 'G4864', 'G4871', 'G4905']	['H622', 'H627', 'H1413', 'H1481', 'H2199', 'H3259', 'H4150', 'H4186', 'H4744', 'H5475', 'H5712', 'H5789', 'H6116', 'H6633', 'H6908', 'H6950', 'H6951', 'H6952', 'H7284', 'G1577', 'G1997', 'G3831', 'G4863', 'G4864', 'G4871', 'G4905']	* [1 Kings 08:14](rc://en/tn/help/1ki/08/14)* [Acts 07:38](rc://en/tn/help/act/07/38)* [Ezra 10:12-13](rc://en/tn/help/ezr/10/12)* [Hebrews 12:22-24](rc://en/tn/help/heb/12/22)* [Leviticus 04:20-21](rc://en/tn/help/lev/04/20)* [Nehemiah 08:1-3](rc://en/tn/help/neh/08/01)	11008014. 44007038. 15010012. 15010013. 58012022. 58012023. 58012024. 03004020. 03004021. 16008001. 16008002. 16008003. 
601	assign	assign	assign, assigned, assigning, assignment, assignments, reassign	नियुक्त करना, बांटा, ठहराए, भाग, भागों, फिर दे देना	['H2506', 'H3335', 'H4487', 'H4941', 'H5157', 'H5307', 'H5414', 'H5596', 'H5975', 'H6485', 'H7760', 'G3307']	['H2506', 'H3335', 'H4487', 'H4941', 'H5157', 'H5307', 'H5414', 'H5596', 'H5975', 'H6485', 'H7760', 'G3307']	* [1 Chronicles 06:48](rc://en/tn/help/1ch/06/48)* [Daniel 12:13](rc://en/tn/help/dan/12/13)* [Jeremiah 43:11](rc://en/tn/help/jer/43/11)* [Joshua 18:02](rc://en/tn/help/jos/18/02)* [Numbers 04:27-28](rc://en/tn/help/num/04/27)* [Psalms 078:55](rc://en/tn/help/psa/078/55)	13006048. 27012013. 24043011. 06018002. 04004027. 04004028. 19078055. 
602	astray	astray	astray, go astray, went astray, lead astray, led astray, stray, strayed, strays	भटक, भटक जाते हैं, भटक गए, भटका देना, भटका दिया, भटकना, भटका दिया, भटकना	['H5080', 'H7683', 'H7686', 'H8582', 'G4105', 'G5351']	['H5080', 'H7683', 'H7686', 'H8582', 'G4105']	* [1 John 03:07](rc://en/tn/help/1jn/03/07)* [2 Timothy 03:13](rc://en/tn/help/2ti/03/13)* [Exodus 23:4-5](rc://en/tn/help/exo/23/04)* [Ezekiel 48:10-12](rc://en/tn/help/ezk/48/10)* [Matthew 18:13](rc://en/tn/help/mat/18/13)* [Matthew 24:05](rc://en/tn/help/mat/24/05)* [Psalms 058:03](rc://en/tn/help/psa/058/03)* [Psalms 119:110](rc://en/tn/help/psa/119/110)	62003007. 55003013. 02023004. 02023005. 26048010. 26048011. 26048012. 40018013. 40024005. 19058003. 19119110. 
603	avenge	avenge	avenge, avenges, avenged, avenging, avenger, revenge, vengeance	बदला लेना, पलटा लेनेवाला, पलटा लिया, बदला लेने, पलटा लेनेवाला, बदला, पलटा लेना	['H1350', 'H3467', 'H5358', 'H5359', 'H5360', 'H8199', 'G1556', 'G1557', 'G1558', 'G3709']	['H1350', 'H3467', 'H5358', 'H5359', 'H5360', 'H6544', 'H6546', 'H8199', 'G1349', 'G1556', 'G1557', 'G1558', 'G2917', 'G3709']	* [1 Samuel 24:12-13](rc://en/tn/help/1sa/24/12)* [Ezekiel 25:15](rc://en/tn/help/ezk/25/15)* [Isaiah 47:3-5](rc://en/tn/help/isa/47/03)* [Leviticus 19:17-18](rc://en/tn/help/lev/19/17)* [Psalms 018:47](rc://en/tn/help/psa/018/47)* [Romans 12:19](rc://en/tn/help/rom/12/19)	09024012. 09024013. 26025015. 23047003. 23047004. 23047005. 03019017. 03019018. 19018047. 45012019. 
604	awe	awe	awe, awesome	भय, भययोग्य	['H366', 'H1481', 'H3372', 'H6206', 'H7227', 'G2124']	['H366', 'H1481', 'H3372', 'H6206', 'H7227', 'G2124']	* [1 Chronicles 17:21](rc://en/tn/help/1ch/17/21)* [Genesis 28:16-17](rc://en/tn/help/gen/28/16)* [Hebrews 12:28](rc://en/tn/help/heb/12/28)* [Psalm 022:23](rc://en/tn/help/psa/022/23)* [Psalms 147:4-5](rc://en/tn/help/psa/147/004)	13017021. 01028016. 01028017. 58012028. None022023. 19147004. 19147005. 
605	ax	ax	ax, axes	कुल्हाड़ा, कुल्हाड़े	['H1631', 'H7134', 'G513']	['H1631', 'H4621', 'H7134', 'G513']	* [1 Kings 06:7-8](rc://en/tn/help/1ki/06/07)* [2 Kings 06:05](rc://en/tn/help/2ki/06/05)* [Judges 09:48-49](rc://en/tn/help/jdg/09/48)* [Luke 03:9](rc://en/tn/help/luk/03/9)* [Matthew 03:10](rc://en/tn/help/mat/03/10)* [Psalm 035:03](rc://en/tn/help/psa/035/03)	11006007. 11006008. 12006005. 07009048. 07009049. 40003010. None035003. 
606	banquet	banquet	banquet	भोज	['H4960', 'H4961', 'H8354', 'G1173', 'G1403']	['H3739', 'H4797', 'H4960', 'H4961', 'H8354', 'G1173', 'G1403']	* [Daniel 05:10](rc://en/tn/help/dan/05/10)* [Isaiah 05:11-12](rc://en/tn/help/isa/05/11)* [Jeremiah 16:08](rc://en/tn/help/jer/16/08)* [Luke 05:29-32](rc://en/tn/help/luk/05/29)* [Song of Solomon 02:3-4](rc://en/tn/help/sng/02/03)	27005010. 23005011. 23005012. 24016008. 42005029. 42005030. 42005031. 42005032. 
607	barley	barley	barley	जौ	['H8184', 'G2915', 'G2916']	['H8184', 'G2915', 'G2916']	* [1 Chronicles 11:12-14](rc://en/tn/help/1ch/11/12)* [Job 31:40](rc://en/tn/help/job/31/40)* [Judges 07:14](rc://en/tn/help/jdg/07/14)* [Numbers 05:15](rc://en/tn/help/num/05/15)* [Revelation 06:06](rc://en/tn/help/rev/06/06)	13011012. 13011013. 13011014. 18031040. 07007014. 04005015. 66006006. 
608	barren	barren	barren, dry	उजाड़	['H4420', 'H6115', 'H6135', 'H6723', 'H7921', 'G692', 'G4723']	['H4420', 'H6115', 'H6135', 'H6723', 'H7909', 'H7921', 'G692', 'G4723']	* [1 Samuel 02:5](rc://en/tn/help/1sa/02/05)* [Galatians 04:27](rc://en/tn/help/gal/04/27)* [Genesis 11:30](rc://en/tn/help/gen/11/30)* [Job 03:07](rc://en/tn/help/job/03/07)	48004027. 01011030. 18003007. 
609	basket	basket	basket, baskets, basketfuls	टोकरी, टोकरियाँ, टोकरियाँ भरकर	['H374', 'H1731', 'H1736', 'H2935', 'H3619', 'H5536', 'H7991', 'G2894', 'G3426', 'G4553', 'G4711']	['H374', 'H1731', 'H1736', 'H2935', 'H3619', 'H5536', 'H7991', 'G2894', 'G3426', 'G4553', 'G4711']	* [2 Corinthians 11:33](rc://en/tn/help/2co/11/33)* [Acts 09:25](rc://en/tn/help/act/09/25)* [Amos 08:01](rc://en/tn/help/amo/08/01)* [John 06:13-15](rc://en/tn/help/jhn/06/13)* [Judges 06:19-20](rc://en/tn/help/jdg/06/19)* [Matthew 14:20](rc://en/tn/help/mat/14/20)	47011033. 44009025. 30008001. 43006013. 43006014. 43006015. 07006019. 07006020. 40014020. 
610	bear	bear	bear, bears, bearing, bearer, carry, carried	सहना, सह लेता है, उठाए, ढोनेवाला	['H2232', 'H3201', 'H3205', 'H5375', 'H5445', 'H5449', 'H6030', 'H6509', 'H6779', 'G142', 'G430', 'G941', 'G1080', 'G1627', 'G2592', 'G3140', 'G4160', 'G4722', 'G4828', 'G5041', 'G5088', 'G5342', 'G5409', 'G5576']	['H2232', 'H3201', 'H3205', 'H5187', 'H5375', 'H5445', 'H5449', 'H6030', 'H6509', 'H6779', 'G142', 'G399', 'G430', 'G503', 'G941', 'G1080', 'G1627', 'G2592', 'G3114', 'G3140', 'G4064', 'G4160', 'G4722', 'G4828', 'G4901', 'G5041', 'G5088', 'G5297', 'G5342', 'G5409', 'G5576']	* [Lamentations 03:27](rc://en/tn/help/lam/03/27)	25003027
611	bearanimal	bearanimal	bear, bears	रीछ, रीछनियों	['H1677', 'G715']	['H1677', 'G715']		
612	beast	beast	beast, beasts, animal, animals	पशु, पशुओं	['H338', 'H929', 'H1165', 'H2123', 'H2416', 'H2423', 'H2874', 'H4806', 'G2226', 'G2341', 'G2342', 'G2934', 'G4968', 'G5074']	['H338', 'H929', 'H1165', 'H2123', 'H2416', 'H2423', 'H2874', 'H3753', 'H4806', 'H7409', 'G2226', 'G2341', 'G2342', 'G2934', 'G4968', 'G5074']	* [1 Corinthians 15:32](rc://en/tn/help/1co/15/32)* [1 Samuel 17:44](rc://en/tn/help/1sa/17/44)* [2 Chronicles 25:18](rc://en/tn/help/2ch/25/18)* [Jeremiah 16:1-4](rc://en/tn/help/jer/16/01)* [Leviticus 07:21](rc://en/tn/help/lev/07/21)* [Psalms 049:12-13](rc://en/tn/help/psa/049/012)	46015032. 09017044. 14025018. 24016001. 24016002. 24016003. 24016004. 03007021. 19049012. 19049013. 
613	beg	beg	beg, begged, begging, beggar, needy	विनती, विनती की, विनती की, कंगाल	['H34', 'H7592', 'G154', 'G1871', 'G4319', 'G4434']	['H34', 'H7592', 'G154', 'G1871', 'G4319', 'G4434', 'G6075']	* [Luke 16:20](rc://en/tn/help/luk/16/20)* [Mark 06:56](rc://en/tn/help/mrk/06/56)* [Matthew 14:36](rc://en/tn/help/mat/14/36)* [Psalm 045:12-13](rc://en/tn/help/psa/045/012)	42016020. 41006056. 40014036. None045012. None045013. 
614	betray	betray	betray, betrays, betrayed, betraying, betrayer, betrayers	पकड़वाना, पकड़वानेवाले, पकड़वाया, विश्वासघात किया, पकड़नेवाला, पकड़वानेवाले	['H7411', 'G3860', 'G4273']	['H7411', 'G3860', 'G4273']	* [Acts 07:52](rc://en/tn/help/act/07/52)* [John 06:64](rc://en/tn/help/jhn/06/64)* [John 13:22](rc://en/tn/help/jhn/13/22)* [Matthew 10:04](rc://en/tn/help/mat/10/04)* [Matthew 26:22](rc://en/tn/help/mat/26/22)	44007052. 43006064. 43013022. 40010004. 40026022. 
615	biblicaltimeday	biblicaltimeday	day, days	दिन, दिनों	['H3117', 'H3118', 'H6242', 'G2250']	['H3117', 'H3118', 'H6242', 'G2250']	* [Acts 20:06](rc://en/tn/help/act/20/06)* [Daniel 10:04](rc://en/tn/help/dan/10/04)* [Ezra 06:15](rc://en/tn/help/ezr/06/15)* [Ezra 06:19](rc://en/tn/help/ezr/06/19)* [Matthew 09:15](rc://en/tn/help/mat/09/15)	44020006. 27010004. 15006015. 15006019. 40009015. 
616	biblicaltimehour	biblicaltimehour	hour, hours, moment, immediately, for a while	पहर, घंटे	['H8160', 'G5610']	['H8160', 'G5610']	 * [Acts 02:15](rc://en/tn/help/act/02/15)* [John 04:51-52](rc://en/tn/help/jhn/04/51)* [Luke 23:44](rc://en/tn/help/luk/23/44)* [Matthew 20:03](rc://en/tn/help/mat/20/03)	44002015. 43004051. 43004052. 42023044. 40020003. 
617	biblicaltimemonth	biblicaltimemonth	month, months, monthly	महीने, महीनों, महीने के	['H2320', 'H3391', 'H3393', 'G3376']	['H2320', 'H3391', 'H3393', 'G3376']	* [1 Samuel 20:34](rc://en/tn/help/1sa/20/34)* [Acts 18:9-11](rc://en/tn/help/act/18/09)* [Hebrews 11:23](rc://en/tn/help/heb/11/23)* [Numbers 10:10](rc://en/tn/help/num/10/10)	09020034. 44018009. 44018010. 44018011. 58011023. 04010010. 
618	biblicaltimewatch	biblicaltimewatch	watch (biblical time), watches	पहर(बाइबल का समय)	['H821', 'G5438']	['H821', 'G5438']	* [Luke 12:37-38](rc://en/tn/help/luk/12/37)* [Mark 06:48-50](rc://en/tn/help/mrk/06/48)* [Matthew 14:25-27](rc://en/tn/help/mat/14/25)* [Psalms 090:3-4](rc://en/tn/help/psa/090/003)	42012037. 42012038. 41006048. 41006049. 41006050. 40014025. 40014026. 40014027. 19090003. 19090004. 
619	biblicaltimeweek	biblicaltimeweek	week, weeks	सप्ताह, सप्ताहों	['H7620', 'G4521']	['H7620', 'G4521']	* [Acts 20:7-8](rc://en/tn/help/act/20/07)* [Deuteronomy 16:09](rc://en/tn/help/deu/16/09)* [Leviticus 23:15-16](rc://en/tn/help/lev/23/15)	44020007. 44020008. 05016009. 03023015. 03023016. 
620	biblicaltimeyear	biblicaltimeyear	year, years	वर्ष, वर्षों	['H7620', 'H7657', 'H8140', 'H8141', 'G1763', 'G2094']	['H3117', 'H7620', 'H7657', 'H8140', 'H8141', 'G1763', 'G2094']	* [2 Kings 23:31](rc://en/tn/help/2ki/23/31)* [Acts 19:8-10](rc://en/tn/help/act/19/08)* [Daniel 08:01](rc://en/tn/help/dan/08/01)* [Exodus 12:02](rc://en/tn/help/exo/12/02)	12023031. 44019008. 44019009. 44019010. 27008001. 02012002. 
621	blemish	blemish	blemish, blemishes, unblemished, defect	दोष, दोष, निर्दोष	['H3971', 'H8400', 'H8549', 'G3470']	['H3971', 'H8400', 'H8549', 'G3470']	* [1 Peter 01:19](rc://en/tn/help/1pe/01/19)* [2 Peter 02:13](rc://en/tn/help/2pe/02/13)* [Deuteronomy 15:19-21](rc://en/tn/help/deu/15/19)* [Numbers 06:13-15](rc://en/tn/help/num/06/13)* [Song of Solomon 04:07](rc://en/tn/help/sng/04/07)	60001019. 61002013. 05015019. 05015020. 05015021. 04006013. 04006014. 04006015. 
622	bloodshed	bloodshed	bloodshed	लहू बहाना	['H1818']	['H1818', 'G2210']	* [1 Chronicles 22:6-8](rc://en/tn/help/1ch/22/06)* [Genesis 09:5-7](rc://en/tn/help/gen/09/05)* [Hebrews 09:21-22](rc://en/tn/help/heb/09/21)* [Isaiah 26:21](rc://en/tn/help/isa/26/21)* [Matthew 23:29-31](rc://en/tn/help/mat/23/29)	13022006. 13022007. 13022008. 01009005. 01009006. 01009007. 58009021. 58009022. 23026021. 40023029. 40023030. 40023031. 
623	blotout	blotout	blot out, blots out, blotted out, wipe out, wipes out, wiped out	मिटा दे, मिटा देता, मिटाया जाता, मिटा डाले, मिटा, मिट गए	['H4229', 'H8045', 'G1813']	['H3971', 'H4229', 'G631', 'G1591', 'G1813']	* [Deuteronomy 29:20](rc://en/tn/help/deu/29/20)* [Exodus 32:30-32](rc://en/tn/help/exo/32/30)* [Genesis 07:23](rc://en/tn/help/gen/07/23)* [Psalm 051:01](rc://en/tn/help/psa/051/01)	05029020. 02032030. 02032031. 02032032. 01007023. None051001. 
624	bold	bold	bold, boldly, boldness, emboldened	निडर, निडर होकर, साहस, साहसी	['H982', 'H5797', 'G662', 'G2292', 'G3618', 'G3954', 'G3955', 'G5111', 'G5112']	['H982', 'H983', 'H4834', 'H5797', 'G662', 'G2292', 'G3618', 'G3954', 'G3955', 'G5111', 'G5112']	* [1 John 02:28](rc://en/tn/help/1jn/02/28)* [1 Thessalonians 02:1-2](rc://en/tn/help/1th/02/01)* [2 Corinthians 03:12-13](rc://en/tn/help/2co/03/12)* [Acts 04:13](rc://en/tn/help/act/04/13)	62002028. 52002001. 52002002. 47003012. 47003013. 44004013. 
625	bookoflife	bookoflife	Book of Life	जीवन की पुस्तक	['H2416', 'H5612', 'G976', 'G2222']	['H2416', 'H5612', 'G976', 'G2222']	* [Philippians 04:03](rc://en/tn/help/php/04/03)* [Psalms 069:28-29](rc://en/tn/help/psa/069/028)* [Revelation 03:5-6](rc://en/tn/help/rev/03/05)* [Revelation 20:11-12](rc://en/tn/help/rev/20/11)	50004003. 19069028. 19069029. 66003005. 66003006. 66020011. 66020012. 
626	bow	bow	bow, bows, bowed, bowing, bow down, bows down, bowed down, bowing down, knelt, are bent, have bent, bend, bend the knee, will bend	दण्डवत्, झुक गया, दण्डवत् किया, झुकने, दण्डवत् करना, दण्डवत् करे, दण्डवत् किया, दण्डवत् करते रहे	['H86', 'H3721', 'H3766', 'H5753', 'H5791', 'H6915', 'H7743', 'H7812', 'H7817', 'G1120', 'G2578', 'G2827', 'G4098']	['H86', 'H3721', 'H3766', 'H5186', 'H5753', 'H5791', 'H6915', 'H7743', 'H7812', 'H7817', 'G1120', 'G2578', 'G2827', 'G4781', 'G4794']	* [2 Kings 05:18](rc://en/tn/help/2ki/05/18)* [Exodus 20:05](rc://en/tn/help/exo/20/05)* [Genesis 24:26](rc://en/tn/help/gen/24/26)* [Genesis 44:14](rc://en/tn/help/gen/44/14)* [Isaiah 44:19](rc://en/tn/help/isa/44/19)* [Luke 24:05](rc://en/tn/help/luk/24/05)* [Matthew 02:11](rc://en/tn/help/mat/02/11)* [Revelation 03:09](rc://en/tn/help/rev/03/09)	12005018. 02020005. 01024026. 01044014. 23044019. 42024005. 40002011. 66003009. 
627	bowweapon	bowweapon	bow and arrow, bows and arrows, a bow, arrows	धनुष और तीर, धनुष और तीर	['H2671', 'H7198', 'G5115']	['H2671', 'H7198', 'G5115']	* [Genesis 21:16](rc://en/tn/help/gen/21/16)* [Habakkuk 03:9-10](rc://en/tn/help/hab/03/09)* [Job 29:20-22](rc://en/tn/help/job/29/20)* [Lamentations 02:04](rc://en/tn/help/lam/02/04)* [Psalms 058:6-8](rc://en/tn/help/psa/058/006)	01021016. 35003009. 35003010. 18029020. 18029021. 18029022. 25002004. 19058006. 19058007. 19058008. 
628	bread	bread	bread	रोटी	['H2557', 'H3899', 'H4635', 'H4682', 'G106', 'G740', 'G4286']	['H2557', 'H3899', 'H4635', 'H4682', 'G106', 'G740', 'G4286']	* [Acts 02:46](rc://en/tn/help/act/02/46)* [Acts 27:35](rc://en/tn/help/act/27/35)* [Exodus 16:15](rc://en/tn/help/exo/16/15)* [Luke 09:13](rc://en/tn/help/luk/09/13)* [Mark 06:38](rc://en/tn/help/mrk/06/38)* [Matthew 04:04](rc://en/tn/help/mat/04/04)* [Matthew 11:18](rc://en/tn/help/mat/11/18)	44002046. 44027035. 02016015. 42009013. 41006038. 40004004. 40011018. 
629	breastplate	breastplate	breastplate, breastplates, breastpiece	झिलम, झिलमें, चपरास	['H2833', 'H8302', 'G2382']	['H2833', 'H8302', 'G2382']	* [1 Thessalonians 05:08](rc://en/tn/help/1th/05/08)* [Exodus 39:14-16](rc://en/tn/help/exo/39/14)* [Isaiah 59:17](rc://en/tn/help/isa/59/17)* [Revelation 09:7-9](rc://en/tn/help/rev/09/07)	52005008. 02039014. 02039015. 02039016. 23059017. 66009007. 66009008. 66009009. 
630	breath	breath	breath, breathe, breathes, breathed, breathing	श्वांस, श्वांस फूंकना, साँस लेता है, श्वांस फूँक दिया, सांस लेना	['H3307', 'H5301', 'H5396', 'H5397', 'H7307', 'G1720', 'G4157']	['H3307', 'H5301', 'H5396', 'H5397', 'H7307', 'H7309', 'G1709', 'G1720', 'G4157']	* [1 Kings 17:17](rc://en/tn/help/1ki/17/17)* [Ecclesiastes 08:08](rc://en/tn/help/ecc/08/08)* [Job 04:09](rc://en/tn/help/job/04/09)* [Revelation 11:11](rc://en/tn/help/rev/11/11)* [Revelation 13:15](rc://en/tn/help/rev/13/15)	11017017. 21008008. 18004009. 66011011. 66013015. 
631	bribe	bribe	bribe, bribes, bribed, bribery, payoffs	घूस, घूस, घूस दिया, घूस लेते हैं	['H3724', 'H4979', 'H7809', 'H7810', 'H7936', 'H7966', 'H8021', 'H8641', 'G5260']	['H3724', 'H4979', 'H7809', 'H7810', 'H7936', 'H7966', 'H8641', 'G5260']	* [1 Samuel 08:1-3](rc://en/tn/help/1sa/08/01)* [Ecclesiastes 07:7](rc://en/tn/help/ecc/07/07)* [Isaiah 01:23](rc://en/tn/help/isa/01/23)* [Micah 03:9-11](rc://en/tn/help/mic/03/09)* [Proverbs 15:27-28](rc://en/tn/help/pro/15/27)	09008001. 09008002. 09008003. 23001023. 33003009. 33003010. 33003011. 20015027. 20015028. 
632	bride	bride	bride, brides, bridal	दुल्हन, वधू, विवाह	['H3618', 'G3565']	['H3618', 'G3565']	* [Exodus 22:16](rc://en/tn/help/exo/22/16)* [Isaiah 62:5](rc://en/tn/help/isa/62/5)* [Joel 02:16](rc://en/tn/help/jol/02/16)	02022016. 29002016. 
633	bridegroom	bridegroom	bridegroom, bridegrooms	दुल्हा, दुल्हे	['H2860', 'G3566']	['H2860', 'G3566']	* [Isaiah 62:5](rc://en/tn/help/isa/62/5)* [Joel 02:15-16](rc://en/tn/help/jol/02/15)* [John 03:30](rc://en/tn/help/jhn/03/30)* [Luke 05:35](rc://en/tn/help/luk/05/35)* [Mark 02:19](rc://en/tn/help/mrk/02/19)* [Mark 02:20](rc://en/tn/help/mrk/02/20)* [Matthew 09:15](rc://en/tn/help/mat/09/15)	29002015. 29002016. 43003030. 42005035. 41002019. 41002020. 40009015. 
634	bronze	bronze	bronze	पीतल	['H5153', 'H5154', 'H5174', 'H5178', 'G5470', 'G5474', 'G5475']	['H5153', 'H5154', 'H5174', 'H5178', 'G5470', 'G5474', 'G5475']	* [1 Kings 07:16](rc://en/tn/help/1ki/07/16)* [1 Samuel 17:37-38](rc://en/tn/help/1sa/17/37)* [Daniel 02:44-45](rc://en/tn/help/dan/02/44)* [Exodus 25:3-7](rc://en/tn/help/exo/25/03)* [Revelation 01:15](rc://en/tn/help/rev/01/15)	11007016. 09017037. 09017038. 27002044. 27002045. 02025003. 02025004. 02025005. 02025006. 02025007. 66001015. 
635	burden	burden	burden, burdens, burdened, burdensome, heavy, utterances	बोझ, बोझ, बोझ से दबे, भारी	['H2960', 'H3053', 'H4614', 'H4853', 'H4864', 'H5445', 'H5447', 'H5448', 'H5449', 'H6006', 'G4', 'G916', 'G922', 'G2347', 'G2599', 'G2655', 'G5413']	['H92', 'H3053', 'H4614', 'H4853', 'H4858', 'H4864', 'H4942', 'H5445', 'H5447', 'H5448', 'H5449', 'H5450', 'H6006', 'G4', 'G916', 'G922', 'G1117', 'G2347', 'G2599', 'G2655', 'G5413']	* [2 Thessalonians 03:6-9](rc://en/tn/help/2th/03/06)* [Galatians 06:1-2](rc://en/tn/help/gal/06/01)* [Galatians 06:03](rc://en/tn/help/gal/06/03)* [Genesis 49:15](rc://en/tn/help/gen/49/15)* [Matthew 11:30](rc://en/tn/help/mat/11/30)* [Matthew 23:04](rc://en/tn/help/mat/23/04)	53003006. 53003007. 53003008. 53003009. 48006001. 48006002. 48006003. 01049015. 40011030. 40023004. 
